Interannual variability,False
Spatial resolution,60.0S to 66.0S in latitude (0.5); 50.0E to 82.0E in longitude (1.0)
Biogeochemical forcings used,CanESM5-CanOE
Number of focal species,10
Number of resource species,3
Number of background species,2
Use fisheries,False
Use bioenergetic module,False
Use genetic module,False
Use economic module,False
