Interannual variability,False
Spatial resolution,0.1 deg
Biogeochemical forcings used,
Number of focal species,14
Number of resource species,10
Number of background species,0
Use fisheries,False
Use bioenergetic module,False
Use genetic module,False
Use economic module,False
