Interannual variability,False
Spatial resolution,1 / 12
Biogeochemical forcings used,
Number of focal species,11
Number of resource species,6
Number of background species,0
Use fisheries,0
Use bioenergetic module,False
Use genetic module,False
Use economic module,False
