Interannual variability,False
Spatial resolution,
Biogeochemical forcings used,
Physical forcings used,
Number of focal species,16
Number of resource species,11
Number of background species,0
Use fisheries,False
Number of fisheries,0
Use bioenergetic module,True
Use genetic module,True
Use economic module,False
